NAME	X	Y
TYPE	numeric	numeric
MGH66-P08-E07	-0.779517828426998	1.66195372218034
MGH66-P03-H06	0.690367427175807	-0.517789074017983
MGH66-P04-E06	-1.24954612850768	-1.38205208651643
MGH66-P08-D12	0.503128328066863	-1.645199418642
MGH66-P03-C02	-1.0217329397315	-1.23224654781344
MGH66-P07-H06	0.663066576788297	1.10307392224038
MGH66-P04-F02	-0.853884245657957	-1.086984588138
MGH66-P06-C05	0.221369210656444	-1.38559498075417
MGH66-P06-C08	-0.47942950243948	-0.969755420836354
MGH66-P05-G09	0.141011988234815	-1.30767803112182
MGH66-P06-E02	1.24388982499758	1.18470193536466
MGH66-P06-A04	1.03260796357782	-1.8891979581098
MGH66-P04-B08	-0.640349546084988	-0.819096126575702
MGH66-P07-G12	0.583225398714933	0.497983031414223
